0.27054,0.38076,0.47896,0.2004,0.5511,0.82365,0.72345,0.53908,0.57916,0.94188
0.501,0.35471,0.70741,0.092184,0.38878,0.1984,0.74349,0.60721,0.1022,0.89379
0.19639,0.998,0.54509,0.086172,0.88978,0.17635,0.04008,0.92585,0.2986,0.92385
0.88778,0.69138,0.20441,0.61323,0.55311,0.34068,0.54709,0.72745,0.81764,0.51703
0.71142,0.48898,0.19038,0.29459,0.85972,0.62325,0.64128,0.98196,0.48096,0.30461
0.18637,0.09018,0.92786,0.71944,0.53908,0.77154,0.53307,0.83968,0.092184,0.82766
0.2986,0.062124,0.58717,0,0.01002,0.56914,0.54309,0.34068,0.86172,0.33267
0.04008,0.076152,0.23848,0.058116,0.65932,0.28657,0.84168,0.14429,0.21443,0.45892
0.22645,0.79559,0.7495,0.29058,0.35271,0.63727,0.62325,0.058116,0.45291,0.012024
0.47295,0.53106,0.62124,0.21643,0.76152,0.15631,0.012024,0.57315,0.78958,0.36673
0.21242,0.6513,0.52505,0.87776,0.71543,0.6493,0.501,0.13427,0.88978,0.1483
0.66333,0.8978,0.41283,0.998,0.43487,0.87575,0.60922,0.51503,0.87174,0.66733
0.84569,0.33868,0.34669,0.25852,0.20441,0.88978,0.28457,0.8517,0.56914,0.38076
0.33066,0.12024,0.90381,0.23046,0.76954,0.46293,0.46293,0.12224,0.08016,0.80361
0.23246,0.86573,0.75752,0.71343,0.89178,0.71142,0.68938,0.46493,0.18637,0.07014
0.46092,0.19639,0.91984,0.37275,0.4509,0.46693,0.33467,0.034068,0.14028,0.21242
0.24048,0.77555,0.46293,0.47896,0.59519,0.81964,0.2505,0.06012,0.72745,0.044088
0.43287,0.81964,0.49098,0.51503,0.58717,0.51102,0.55511,0.28858,0.73948,0.68136
0.67134,0.72545,0.7014,0.71142,0.80762,0.73347,0.51102,0.10621,0.79158,0.70341
0.10621,0.92986,0.83768,0.004008,0.13026,0.501,0.20641,0.36673,0.006012,0.56513
0.74349,0.80561,0.86573,0.23246,0.56313,0.43888,0.78156,0.41483,0.30461,0.84569
0.95792,0.31463,0.43687,0.95391,0.59118,0.58717,0.37074,0.13828,0.47695,0.032064
0.46293,0.7515,0.56713,0.88377,0.18838,0.50501,0.004008,0.53707,0.68136,0.34469
