0.041667,0.45833,0.875,0.29167,0.625
0.66667,0.375,0.20833,0.041667,0.95833
0.29167,0.125,0.41667,0.16667,0.41667
0.33333,0.75,0.83333,0.20833,0
0.58333,0.33333,0.58333,0,0.125
0.625,1,0.29167,1,0.5
0.79167,0.54167,0,0.25,0.58333
0.20833,0.25,0.16667,0.875,0.66667
0.083333,0.29167,0.66667,0.79167,0.25
0.54167,0.41667,1,0.625,0.79167
0.25,0.70833,0.75,0.91667,0.91667
0.5,0.16667,0.083333,0.75,0.041667
0.875,0.83333,0.95833,0.70833,0.29167
0.70833,0.041667,0.70833,0.83333,0.54167
0.41667,0.95833,0.625,0.33333,0.75
0.91667,0.083333,0.25,0.41667,0.33333
0.375,0.79167,0.041667,0.66667,0.70833
1,0.625,0.79167,0.125,0.45833
0.125,0.66667,0.375,0.083333,0.83333
0.95833,0.20833,0.54167,0.58333,0.875
0.75,0.58333,0.5,0.95833,0.16667
0.83333,0.91667,0.33333,0.5,1
0.45833,0,0.91667,0.375,0.20833
0.16667,0.5,0.125,0.45833,0.083333
0,0.875,0.45833,0.54167,0.375
